Término,TF-IDF Promedio,TF-IDF Máximo
corpus linguistics,0.21403862370909127,0.8199006509388382
word list,0.04508423565739598,0.7679221414541106
language technology,0.025080687062607028,0.7310432436962181
chi square,0.03641451837586667,0.7141581211211164
text length,0.023322392423524938,0.6458131175323522
classification approach,0.021133621119480563,0.6275338414556588
case study,0.07062387910927304,0.6159673324128548
pearson chi square,0.01966155826001694,0.5898467478005083
co occurrence,0.05136367604367995,0.525842678178715
number of instance,0.018500079284245532,0.4973262194510818
cluster analysis,0.03180216361223995,0.49205470335090223
data set,0.0354819075449563,0.4896918763962836
loglength type,0.01613807401050247,0.4841422203150741
data point,0.03971275965144298,0.4837844587438095
language education,0.022932834580924915,0.4510221078798188
stop word,0.019155149160511233,0.4287668541395722
discourse domain,0.016253394595587427,0.4245762085912716
news agency,0.01427999954173085,0.4219251941231675
frequency list,0.04849276684104895,0.41899025314824373
citation analysis,0.01393992915880844,0.41819787476425324
classification tree,0.01747289575005263,0.4118886091601022
corpus file,0.020195844598499206,0.38927376322926155
pseudo title,0.012864976616654068,0.38594929849962206
conditional inference tree,0.014496430064541292,0.38173127647680977
corpus linguist,0.05272768996124095,0.38142745943198647
language documentation,0.012674025120970194,0.38022075362910585
social medium language,0.012619108341062118,0.37857325023186356
effect size,0.03358770325752133,0.36825512360238927
person pronoun,0.01866308522140232,0.3662204332586524
corpus datum,0.05949159536889223,0.3636195299515465
data frame,0.01507720070133551,0.36166893123745353
learner corpus,0.038278910852615235,0.3597725236092152
variation change,0.014422008713610096,0.35913345382550305
partial dependence score,0.011796536282951504,0.35389608848854515
visualisation technique,0.01220983551858946,0.3525974448136744
researcher use,0.018893989974396792,0.3517781807626743
corpus building,0.016819235190357478,0.341742339938533
corpus method,0.01892945188053685,0.3398592958476709
word form,0.039362407380500807,0.3334149401457656
assign label,0.012166736591672615,0.33334365463385796
language use,0.03934372923071975,0.3273478656045968
information retrieval,0.014250757938276687,0.32285828363825536
language teaching,0.03133862754372773,0.31904039845744947
language feature,0.017373587589155564,0.314996580609374
word embedding,0.01363643804609896,0.3137669207278294
pattern of language,0.015441727752034912,0.30765035999197804
dimensionality reduction,0.010669789950929522,0.3071441142703697
time span,0.014091538419323004,0.305620694861028
character vector,0.010140881066828276,0.3042264320048483
text file,0.023194074924971535,0.2991581745005809
language variation,0.022576610052833804,0.2938931196431885
stefanowitsch gries,0.012153438368966232,0.28938397094032137
corpus linguistics methodology,0.011219459553076187,0.2878536838625079
particle placement,0.011103376672155956,0.28777775526337274
style sheet,0.009551016627447912,0.28653049882343734
meta analysis,0.01850339443184985,0.2839838249957151
twitter datum,0.009464331255796588,0.2839299376738976
number of example,0.010577101927842269,0.28229077913873135
annotation time,0.010168206882134507,0.28229077913873135
quality of corpus,0.010785089476760833,0.28229077913873135
annotation standard,0.010676811848840844,0.28229077913873135
collocation network,0.014151818702621364,0.28207795585093953
corpus generation,0.009282485198912031,0.2784745559673609
variable importance score,0.009662842674414283,0.2704609038461545
target discourse domain,0.009560576109264144,0.26739290689165035
character class,0.01256572623575737,0.26456389592435514
mass weight,0.00879775051431442,0.2639325154294326
different classification approach,0.00879775051431442,0.2639325154294326
register analysis,0.011632573876507719,0.26375974577611244
mean score,0.008936741272200958,0.26162744603727073
field of corpus,0.015795679261437816,0.2590833607543711
collection of text,0.017285398318657143,0.2590833607543711
language datum,0.020500252943572682,0.25696342937455213
speech sample,0.013228572112061354,0.2566535941991209
social medium platform,0.009800307034679627,0.2531551164739005
research design,0.015045890676255743,0.25030529409595415
vector space,0.01011088482431746,0.24946878505441156
annotation process,0.012836555742471391,0.2486631097255409
corpus study,0.024031994101253847,0.24710543119065503
corpus annotation,0.02025906466085062,0.2462932891062571
data structure,0.011220036785938227,0.2458283382381705
classification accuracy,0.01945350704733537,0.24370347424588812
text corpus,0.02772247526718103,0.23980920277653894
natural language processing,0.022250723770515676,0.23980920277653894
character string,0.00936726055451727,0.2377683927221649
keyword theme,0.007744405088226912,0.23233215264680737
corpus research,0.02963233209259909,0.23172910708251604
corpus retrieval software,0.00799394173924627,0.23152818868336988
twitter post,0.008451551383007013,0.23132003334318035
language processing,0.025290028873597874,0.2310585373691768
annotation scheme,0.016209434505067,0.23062964913032452
confidence interval,0.013794022846341432,0.22716400160504138
inter rater agreement,0.007519003583005096,0.22557010749015288
specialized word list,0.007497463654464179,0.2249239096339254
area of corpus,0.008480051185469862,0.22389515258879125
type of file,0.009298501086409042,0.22389515258879125
corpus time,0.011443174979512616,0.22354627215861497
connection vector,0.007336193128883316,0.22008579386649949
key item analysis,0.007276865104665622,0.21830595313996867
press reportage,0.008016263764197255,0.21685243982011665
datum frame,0.00800150820738063,0.21414607770638697
british library newspapers,0.0071276373332664796,0.2138291199979944
variation text length,0.0071276373332664796,0.2138291199979944
tag corpus,0.01002155334115842,0.21301634367083525
wh clause,0.008972123842620689,0.21113327082049338
meta information,0.00820255623330744,0.2091281067936207
study of kind,0.007859896835489513,0.2075021753307769
research collocation,0.007569870533065076,0.2075021753307769
collocation corpus,0.007548279005671153,0.2075021753307769
word occurrence,0.00902645112633607,0.20694521626972817
ice gb,0.01479347235232825,0.2068026262613873
datum matrix,0.007921078876129547,0.20476274284691312
corpus analysis,0.03209095292986021,0.20144262795162346
use of language,0.016184427719113326,0.20105427549156793
portion of corpus,0.007177771652172518,0.20104468621387686
word length,0.01179250122853035,0.20103953956859277
bar plot,0.008706221710639431,0.20054521214318316
level of corpus,0.008460433717451133,0.197217305550129
word noun,0.007944821500479942,0.19410813765159463
word appear,0.008126767069903942,0.19410813765159463
methodology study,0.011453596151042484,0.19410813765159463
sample size,0.016981861146642803,0.19406448292439568
effect size measure,0.010990064107380071,0.1930275199661554
order study,0.006997394713038119,0.19230361290023004
basis vector,0.006379298372942014,0.19137895118826043
corpus corpus,0.02956697053646901,0.19107500785657205
frequency breakdown,0.006367344418298609,0.19102033254895825
research study,0.010126061754925685,0.19090508010759152
text processing,0.008404102430682289,0.18884516813279603
transcription convention,0.0068748715305321,0.1886279174250495
row vector,0.00711994498193452,0.18769918094300367
et al,0.017956611307346746,0.18679516465189613
corpus linguistics paper,0.006195524070581529,0.18586572211744587
co citation analysis,0.006195524070581529,0.18586572211744587
linguistics language technology,0.006188323465941353,0.1856497039782406
research article,0.010905864439860862,0.18532482880107548
statistical description analysis,0.006165741950742257,0.18497225852226773
language user,0.009914123976469371,0.1845408635668078
critical discourse analysis,0.006656717152165341,0.18312138757692384
mi score,0.010690597652517685,0.1827836401528637
methodology corpus,0.008041696955844845,0.1827836401528637
speech writing,0.0119358698369506,0.18198674415138247
subordinate clause,0.010541435542653672,0.18137596435086428
language variety,0.022896967302100897,0.1805918914128391
effect plot,0.006873547924860053,0.18030726923076965
approach corpus,0.017020665675244663,0.17938867425764476
data matrix,0.0070513786878279635,0.179167399991049
line word,0.007568948060755631,0.17879739030128258
language acquisition,0.020367509484798107,0.17803626069891357
concordance search,0.006378233294830921,0.17785563851794822
dialect study,0.005888635610073507,0.1766590683022052
corpus type,0.014867268517419189,0.17588909038133715
speech act,0.013873312234943865,0.175579590934367
sense disambiguation,0.009431779369235997,0.17554464548655133
selection criterion,0.009047608301943342,0.17453281911682064
basis function,0.00580952058540513,0.1742856175621539
tool method,0.0066585328276303314,0.17422570471007906
datum point,0.013002304381787724,0.1732235087296591
trump speak,0.005767058483327686,0.17301175449983058
file name,0.009185848955473403,0.17297391421799913
pos tagging,0.014655764165892681,0.17175665486990974
parce que,0.005722178900005491,0.17166536700016471
cluster structure,0.006766985989429473,0.17063561903909427
concordance line,0.02612189003363269,0.17061511004950977
multimodal corpus,0.0059303589413926255,0.16834459534770763
open corpus linguistics,0.005600286476137949,0.16800859428413847
level of instruction,0.005589184888230504,0.16767554664691514
research question,0.058576113576898285,0.16737492546737864
corpus researcher,0.01544125483076434,0.16635175092534898
research trend,0.010268504688346688,0.16571996217316576
learner corpora,0.020997902948895805,0.16550326080892974
concordance analysis,0.008943433962490626,0.16483354579408677
collection of datum,0.008837513877093136,0.16432112271439797
corpus metadata,0.009807312568875822,0.16353285605839474
purpose of study,0.006961827726733161,0.16353285605839474
concordance program,0.007353169749724617,0.16353285605839474
method corpus,0.00931949335198274,0.1634430030328567
coefficient of variation,0.006500793124898889,0.16089666993914783
