Término,TTF,IDF,TTF-IDF,% de Textos
corpus linguistics,781,1.0666913744986721,833.0859634834629,93.33333333333333
frequency list,267,1.7259370033829362,460.82517990324396,46.666666666666664
corpus datum,298,1.2559333741372007,374.2681454928858,76.66666666666667
language use,234,1.4895482253187058,348.55428472457714,60.0
corpus file,169,2.0360919316867756,344.09953645506505,33.33333333333333
word form,161,1.949080554697146,313.8019693062405,36.666666666666664
data frame,94,3.3353749158170367,313.5252420868014,6.666666666666667
word list,152,1.8690378470236095,284.09375274758867,40.0
cluster analysis,125,2.236762627148927,279.5953283936159,26.666666666666668
effect size,142,1.949080554697146,276.7694387669947,36.666666666666664
corpus linguist,199,1.3894647667617233,276.50348858558294,66.66666666666666
co occurrence,165,1.6613984822453651,274.13074957048525,50.0
word corpus,163,1.6613984822453651,270.8079526059945,50.0
learner corpus,107,2.35454566280531,251.9363859201682,23.333333333333332
case study,129,1.8690378470236095,241.10588226604563,40.0
meta analysis,77,3.0476928433652555,234.67234893912467,10.0
corpus study,128,1.7949298748698876,229.75102398334562,43.333333333333336
character vector,57,3.740840023925201,213.22788136373646,3.3333333333333335
corpus analysis,118,1.7259370033829362,203.66056639918648,46.666666666666664
chi square,93,2.1314021114911004,198.22039636867234,30.0
learner corpora,93,2.1314021114911004,198.22039636867234,30.0
language variety,109,1.7949298748698876,195.64735636081775,43.333333333333336
research design,81,2.35454566280531,190.7181986872301,23.333333333333332
data structure,67,2.8245492920510458,189.24480256742007,13.333333333333334
data point,101,1.8690378470236095,188.77282254938456,40.0
corpus research,116,1.60077386042893,185.6897678097559,53.333333333333336
character string,65,2.8245492920510458,183.59570398331797,13.333333333333334
corpus annotation,94,1.949080554697146,183.21357214153173,36.666666666666664
data set,85,2.1314021114911004,181.16917947674352,30.0
concordance line,92,1.949080554697146,179.31541103213743,36.666666666666664
number of word,99,1.7949298748698876,177.69805761211887,43.333333333333336
character class,58,3.0476928433652555,176.76618491518482,10.0
annotation scheme,81,2.1314021114911004,172.64357103077913,30.0
text length,61,2.8245492920510458,172.2975068151138,13.333333333333334
type token,85,1.949080554697146,165.67184714925742,36.666666666666664
parallel corpora,70,2.35454566280531,164.81819639637172,23.333333333333332
text file,80,2.0360919316867756,162.88735453494206,33.33333333333333
corpus building,69,2.35454566280531,162.4636507335664,23.333333333333332
speech act,68,2.35454566280531,160.10910507076107,23.333333333333332
corpus corpus,103,1.5436154465889818,158.99239099866512,56.666666666666664
text corpus,95,1.6613984822453651,157.8328558133097,50.0
person pronoun,74,2.1314021114911004,157.72375625034144,30.0
reference corpus,91,1.7259370033829362,157.0602673078472,46.666666666666664
text type,78,1.949080554697146,152.02828326637737,36.666666666666664
datum frame,45,3.3353749158170367,150.09187121176666,6.666666666666667
word type,78,1.8690378470236095,145.78495206784154,40.0
word word,80,1.7949298748698876,143.594389989591,43.333333333333336
keyword analysis,65,2.1314021114911004,138.54113724692152,30.0
language documentation,37,3.740840023925201,138.41108088523242,3.3333333333333335
multi word,67,2.0360919316867756,136.41815942301398,33.33333333333333
word frequency,79,1.7259370033829362,136.34902326725197,46.666666666666664
token ratio,63,2.1314021114911004,134.27833302393933,30.0
association measure,57,2.35454566280531,134.20910277990268,23.333333333333332
word class,71,1.8690378470236095,132.70168713867628,40.0
word length,56,2.35454566280531,131.85455711709736,23.333333333333332
word phrase,73,1.7949298748698876,131.0298808655018,43.333333333333336
regression model,57,2.236762627148927,127.49546974748884,26.666666666666668
frequency of word,68,1.8690378470236095,127.09457359760545,40.0
occurrence of word,68,1.8690378470236095,127.09457359760545,40.0
dimensionality reduction,38,3.3353749158170367,126.7442468010474,6.666666666666667
degree of freedom,62,2.0360919316867756,126.23769976458009,33.33333333333333
type token ratio,59,2.1314021114911004,125.75272457797492,30.0
corpus design,67,1.8690378470236095,125.22553575058184,40.0
confidence interval,53,2.35454566280531,124.79092012868144,23.333333333333332
pos tag,61,2.0360919316867756,124.20160783289332,33.33333333333333
code file,37,3.3353749158170367,123.40887188523035,6.666666666666667
word occur,63,1.949080554697146,122.79207494592019,36.666666666666664
pos tagging,52,2.35454566280531,122.43637446587613,23.333333333333332
vector space,40,3.0476928433652555,121.90771373461021,10.0
search expression,42,2.8245492920510458,118.63107026614392,13.333333333333334
corpus contain,53,2.236762627148927,118.54841923889313,26.666666666666668
function word,58,2.0360919316867756,118.09333203783298,33.33333333333333
corpus contains,63,1.8690378470236095,117.7493843624874,40.0
word character,41,2.8245492920510458,115.80652097409288,13.333333333333334
